"Id","Name"
"01tdM00000DUGO1QAP","RFID Key Card"
"01tdM00000DUGO2QAP","10"" Tablet"
"01tdM00000DUGO3QAP","CPU 1.6GHz i5"
"01tdM00000DUGO4QAP","13"" Laptop"
"01tdM00000DUGO5QAP","RAM 8GB"
"01tdM00000DUGO6QAP","SSD Hard Drive 128GB"
"01tdM00000DUGO7QAP","Exterior Camera"
"01tdM00000DUGO8QAP","Interior Camera"
"01tdM00000DUGO9QAP","CPU 2.8GHz i7"
"01tdM00000DUGOAQA5","15"" Laptop"
"01tdM00000DUGOBQA5","RAM 16GB"
"01tdM00000DUGOCQA5","SSD Hard Drive 512GB"
"01tdM00000DUGODQA5","CPU 2.2GHz i7"
"01tdM00000DUGOEQA5","SSD Hard Drive 256GB"
"01tdM00000DUGOFQA5","Smartphone Standard Plan"
"01tdM00000DUGOGQA5","Softphone License"
"01tdM00000DUGOHQA5","Creativity Suite License"
"01tdM00000DUGOIQA5","Accidental Damage Insurance"
"01tdM00000DUGOJQA5","Cloud Storage 1GB"
"01tdM00000DUGOKQA5","Productivity Suite"
"01tdM00000DUGOLQA5","Solar Controller Hub"
"01tdM00000DUGOMQA5","Flat Roof Mounting Kit"
"01tdM00000DUGONQA5","Inverter"
"01tdM00000DUGOOQA5","Solar Panel 400W"
"01tdM00000DUGOPQA5","Angled Roof Mounting Kit"
"01tdM00000DUGOQQA5","Charge Controller"
"01tdM00000DUGORQA5","Ground Mounting Kit"
"01tdM00000DUGOSQA5","Microinverter"
"01tdM00000DUGOTQA5","Wiring Kit"
"01tdM00000DUGOUQA5","10kWh Battery"
"01tdM00000DUGOVQA5","Grid Disconnect Switch"
"01tdM00000DUGOWQA5","Solar Disconnect Switch"
"01tdM00000DUGOXQA5","5kWh Battery"
"01tdM00000DUGOYQA5","Netbook"
"01tdM00000DUGOZQA5","NetbookPro"
"01tdM00000DUGOaQAP","Marketing Platform License"
"01tdM00000DUGObQAP","Virtual Meeting License"
"01tdM00000DUGOcQAP","VPN License"
"01tdM00000DUGOdQAP","Telecommuter Workstation"
"01tdM00000DUGOeQAP","2 Factor Authentication USB Key"
"01tdM00000DUGOfQAP","SD Card 1TB"
"01tdM00000DUGOgQAP","Smart Lightbulb"
"01tdM00000DUGOhQAP","Smart US Power Strip"
"01tdM00000DUGOiQAP","Headphones"
"01tdM00000DUGOjQAP","USB Microphone"
"01tdM00000DUGOkQAP","SD Card 512GB"
"01tdM00000DUGOlQAP","Home Automation Hub"
"01tdM00000DUGOmQAP","Smart Blinds"
"01tdM00000DUGOnQAP","Headphones w/ Boom Microphone"
"01tdM00000DUGOoQAP","USB Webcam w/ Integrated Microphone"
"01tdM00000DUGOpQAP","Pro Audio Boom Microphone"
"01tdM00000DUGOqQAP","Stereo Speakers"
"01tdM00000DUGOrQAP","USB Webcam"
"01tdM00000DUGOsQAP","Smart US Power Outlet"
"01tdM00000DUGOtQAP","Camera Mount Microphone"
"01tdM00000DUGOuQAP","Video Editor License"
"01tdM00000DUGOvQAP","4 Port USB Hub"
"01tdM00000DUGOwQAP","USB Thumb Drive"
"01tdM00000DUGOxQAP","Headphone Extension Cable"
"01tdM00000DUGOyQAP","Electrical Installation"
"01tdM00000DUGOzQAP","4K Video Camera"
"01tdM00000DUGP0QAP","Smart UK Power Strip"
"01tdM00000DUGP1QAP","Smart UK Power Outlet"
"01tdM00000DUGP2QAP","Smart EU Power Strip"
"01tdM00000DUGP3QAP","4K Monitor"
"01tdM00000DUGP4QAP","Smart EU Power Outlet"
"01tdM00000DUGP5QAP","Video Editor License (Educational)"
"01tdM00000DUGP6QAP","Smartwatch"
"01tdM00000DUGP7QAP","Smartwatch Band"
"01tdM00000DUGP8QAP","USB-C Magnetic Smartwatch Charger"
"01tdM00000DUGP9QAP","AC to USB-C Wall Adapter"
"01tdM00000DUGPAQA5","USB-C Wireless Charging Pad"
"01tdM00000DUGPBQA5","CPU 1.2GHz m5"
"01tdM00000DUGPCQA5","Thunderbolt 2m"
"01tdM00000DUGPDQA5","CPU 1.1GHz m3"
"01tdM00000DUGPEQA5","Mouse"
"01tdM00000DUGPFQA5","Laser Printer"
"01tdM00000DUGPGQA5","Printer Toner Cartridge"
"01tdM00000DUGPHQA5","Printer Paper Letter"
"01tdM00000DUGPIQA5","USB-C to USB Adapter"
"01tdM00000DUGPJQA5","WiFi Access Point"
"01tdM00000DUGPKQA5","Keyboard US Layout"
"01tdM00000DUGPLQA5","USB-C to Digital AV Adapter"
"01tdM00000DUGPMQA5","Mini DisplayPort to DVI Adapter"
"01tdM00000DUGPNQA5","USB-C Charge Cable 2m"
"01tdM00000DUGPOQA5","Keyboard UK Layout"
"01tdM00000DUGPPQA5","CPU 2.5GHz i7"
"01tdM00000DUGPQQA5","Router"
"01tdM00000DUGPRQA5","Laptop Charging Cart"
"01tdM00000DUGPSQA5","Monitor 1080p"
"01tdM00000DUGPTQA5","Projector"
"01tdM00000DUGPUQA5","Printer Paper A4"
"01tdM00000DUGPVQA5","Printer Maintenance Kit"
"01tdM00000DUGPWQA5","Mini DisplayPort to VGA Adapter"
"01tdM00000DUGPXQA5","USB-C to Lightning 2m"
"01tdM00000DUGPYQA5","LTE Hotspot"
"01tdM00000DUGPZQA5","WiFi Installation"
"01tdM00000DUGPaQAP","Admin Hour"
"01tdM00000DUGPbQAP","6"" Smartphone"
"01tdM00000DUGPcQAP","Smartphone Case"
"01tdM00000DUGPdQAP","Smartphone Charger"
"01tdM00000DUGPeQAP","Tablet Charger"
"01tdM00000DUGPfQAP","Tablet Case"
"01tdM00000DUGPgQAP","Projector Bulb"
"01tdM00000DUGPhQAP","Projector Ceiling Mount"
"01tdM00000DUGPiQAP","Copy Machine"
"01tdM00000DUGPjQAP","Copy Binding Module"
"01tdM00000DUGPkQAP","Projector Cart"
"01tdM00000DUGPlQAP","Projector Screen"
